"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"Fiducial_1.5mm_Mask3mm";4;"Fiducial_1.5mm_Mask3mm";;;
2;"JP1";"PinHeader_1x03_P2.54mm_Vertical";1;"Jumper_3_Open";;;
3;"TP8,TP7,TP6,TP5,TP4,TP3,TP2,TP1";"TestPoint_Pad_D1.5mm";8;"TestPoint";;;
4;"R26,R25,R15,R24,R23,R22,R14,R18,R17,R16,R6,R5";"R_0805_2012Metric";12;"0R";;;
5;"D10,D9,D8";"D_SOD-323_HandSoldering";3;"PESD5V0L 1BA";;;
6;"U4";"MPU6050";1;"MPU6050";;;
7;"J8";"PinHeader_1x04_P2.54mm_Vertical";1;"Screw_Terminal_01x04";;;
8;"G***";"open_source_hardware";1;"LOGO";;;
9;"rpi_mount,rpi_mount";"MountingHole_3.2mm_M3";2;"MountingHole_3.2mm_M3";;;
10;"H2,H1";"SHDR52W64P254_2X26_6550X495X1384P";2;"ESQ-126-39-G-D";;;
11;"J5,J7";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Male";;;
12;"J1";"IDC-Header_2x04_P2.54mm_Vertical";1;"Conn_01x08_Male";;;
13;"SW3,SW1,SW2";"SW_PUSH_6mm";3;"SW_Push";;;
14;"Q3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"IRF7343PBF";;;
15;"C11,C7,C5,C4,C3,C2";"R_0805_2012Metric";6;"100nF";;;
16;"R4,R3,R2,R1";"R_0805_2012Metric";4;"10k";;;
17;"R21,R20,R19";"R_0805_2012Metric";3;"220";;;
18;"R11,R9";"R_0805_2012Metric";2;"2k2";;;
19;"R10,R8";"R_0805_2012Metric";2;"47k";;;
20;"R7";"R_0805_2012Metric";1;"22k";;;
21;"C10,C9";"R_0805_2012Metric";2;"10uF, 25V";;;
22;"C8";"R_0805_2012Metric";1;"10uF";;;
23;"C6";"R_0805_2012Metric";1;"4.7uF";;;
24;"C1";"R_0805_2012Metric";1;"22uF";;;
25;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
26;"D7,D6,D5,D2";"LED_1206_3216Metric";4;"KPTD-3216SRC-PRV";;;
27;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
28;"Q2,Q1";"SOT-23";2;"BC817";;;
29;"J3";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
30;"R12";"Potentiometer_Piher_PT-6-V_Vertical";1;"RTRIM";;;
31;"H6,H5,H3,H4";"Mounting_hole_PC104";4;"MountingHole_Pad";;;
32;"D1";"SOT-323_SC-70";1;"BAT54JFILM";;;
33;"D3,D4";"D_SOT-23_ANK";2;"BZX84C47LT3";;;
34;"U2";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"CP2102N-A01-GQFN28";;;
35;"U3";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
